    59/149     7.68G   0.03786   0.02118  0.002396   0.06143        53       640    0.8166    0.7363    0.8165    0.4298   0.06718    0.1359  0.009952
    60/149     7.68G   0.03787   0.02099  0.002353   0.06121        39       640    0.8013    0.7499    0.8185    0.4321    0.0672    0.1405  0.009611
    61/149     7.68G   0.03784   0.02177  0.002478   0.06208        11       640    0.7944    0.7601    0.8194    0.4362   0.06755    0.1347  0.009791
    62/149     7.68G   0.03768   0.02131  0.002396   0.06139         5       640    0.7991    0.7504    0.8173    0.4335   0.06719    0.1369   0.00948
    63/149     7.68G   0.03784   0.02165  0.002402   0.06188        37       640    0.8113    0.7534    0.8235    0.4381   0.06778    0.1384  0.009498
    64/149     7.68G   0.03787   0.02178   0.00232   0.06197        32       640    0.8239    0.7383    0.8198    0.4321   0.06754    0.1385  0.009201
    65/149     7.68G    0.0377   0.02163  0.002197   0.06153         8       640    0.8121    0.7466    0.8208    0.4392   0.06703    0.1409  0.009362
    66/149     7.68G   0.03749   0.02142  0.002286    0.0612        15       640    0.8237    0.7456    0.8236    0.4389   0.06688    0.1416  0.009513
    67/149     7.68G    0.0376   0.02108  0.002236   0.06092        34       640    0.8228    0.7432    0.8254    0.4397   0.06699    0.1431  0.009381
    68/149     7.68G   0.03735   0.02133  0.002285   0.06096        10       640    0.7942    0.7714    0.8262    0.4413   0.06743    0.1376  0.009752
    69/149     7.68G   0.03714   0.02083   0.00218   0.06015        12       640    0.8012    0.7689    0.8267    0.4406   0.06702    0.1419  0.009471
    70/149     7.68G    0.0372    0.0216  0.002224   0.06103        40       640    0.8023    0.7709    0.8317     0.445   0.06688    0.1403  0.009421
    71/149     7.68G   0.03724   0.02109  0.002151   0.06049        48       640    0.8215     0.756    0.8318    0.4474   0.06705     0.142   0.00924
    72/149     7.68G    0.0371   0.02045  0.002142    0.0597         9       640    0.8049    0.7728    0.8318    0.4499    0.0669    0.1415  0.009138
    73/149     7.68G   0.03675   0.02089  0.002132   0.05977        29       640    0.8169    0.7628    0.8342    0.4498   0.06646    0.1415   0.00967
    74/149     7.68G     0.037   0.02071  0.002266   0.05997         8       640    0.8086    0.7672    0.8324      0.45   0.06657    0.1423  0.009346
    75/149     7.68G   0.03678   0.02122   0.00205   0.06004        58       640    0.8118    0.7691    0.8313    0.4504   0.06648    0.1437  0.009735
    76/149     7.68G   0.03681    0.0205  0.002042   0.05936        33       640    0.8028    0.7823    0.8367    0.4546   0.06646    0.1426   0.00923
    77/149     7.68G   0.03677   0.02087  0.002119   0.05976        39       640    0.8145    0.7686    0.8351     0.455    0.0667    0.1439  0.009297
    78/149     7.68G   0.03696   0.02049  0.002193   0.05964         6       640    0.8091    0.7803    0.8399    0.4568   0.06645    0.1426  0.009436
    79/149     7.68G   0.03664   0.02092   0.00207   0.05963        76       640    0.8188    0.7657    0.8356    0.4585   0.06619    0.1432  0.009297
    80/149     7.68G   0.03667   0.02109  0.002138   0.05989        14       640    0.8186    0.7665     0.838    0.4576     0.066    0.1441  0.009305
    81/149     7.68G   0.03636   0.02102  0.002155   0.05954        18       640    0.8263    0.7612    0.8395    0.4591   0.06635    0.1415  0.009498
    82/149     7.68G    0.0363   0.02039  0.002084   0.05878        69       640      0.81    0.7705    0.8353    0.4555   0.06603    0.1442  0.009442
    83/149     7.68G   0.03606   0.02054  0.001981   0.05858        19       640    0.8008    0.7856    0.8395    0.4587   0.06626    0.1431  0.009333
    84/149     7.68G    0.0362    0.0205  0.002023   0.05872        66       640    0.8054    0.7782      0.84    0.4604   0.06574    0.1472  0.009717
    85/149     7.68G   0.03585   0.02073  0.002039   0.05862        12       640     0.807    0.7762    0.8366    0.4569   0.06558    0.1475  0.009802
    86/149     7.68G   0.03611   0.02062  0.002025   0.05876         7       640    0.8214    0.7709    0.8408    0.4633   0.06583    0.1439  0.009651
    87/149     7.68G   0.03577   0.02022  0.001934   0.05793        21       640    0.7979    0.7849    0.8368    0.4624   0.06601    0.1448  0.009632
    88/149     7.68G   0.03569   0.02015   0.00185   0.05769        16       640    0.8158     0.779    0.8444    0.4672   0.06546    0.1476  0.009467
    89/149     7.68G   0.03582   0.02003  0.002032   0.05789        24       640    0.8289    0.7649    0.8426    0.4615   0.06569    0.1477   0.00947
    90/149     7.68G   0.03568   0.02073  0.001937   0.05834        18       640    0.8111    0.7774     0.843    0.4652   0.06566    0.1475  0.009545
    91/149     7.68G   0.03572   0.02019  0.002006   0.05791        29       640    0.8183    0.7801    0.8448    0.4666   0.06525    0.1499  0.009436
    92/149     7.68G   0.03523   0.02041  0.001929   0.05757        56       640    0.8228    0.7721    0.8443     0.465   0.06532    0.1505  0.009321
    93/149     7.68G   0.03529   0.02063  0.001908   0.05783        57       640    0.8344    0.7627    0.8452    0.4665   0.06526    0.1491  0.009394
    94/149     7.68G    0.0351   0.02009  0.001791   0.05698         7       640    0.8177    0.7821    0.8464    0.4664   0.06501    0.1501  0.009234
    95/149     7.68G   0.03526   0.02038  0.001906   0.05755         5       640    0.8228    0.7811    0.8496    0.4694   0.06529    0.1489  0.009289
    96/149     7.68G   0.03552    0.0201  0.001918   0.05754        34       640    0.8264     0.776    0.8508    0.4714   0.06528    0.1489  0.009368
    97/149     7.68G    0.0352   0.02006  0.001863   0.05712        47       640    0.8064    0.7916    0.8475    0.4698   0.06496    0.1511  0.009549
    98/149     7.68G   0.03498   0.02005  0.001848   0.05688        11       640    0.8265    0.7788     0.846    0.4698   0.06497    0.1498  0.009536
    99/149     7.68G   0.03476   0.01978  0.001788   0.05633        14       640    0.8044    0.7987    0.8488    0.4704   0.06509    0.1515  0.009508
   100/149     7.68G    0.0346   0.01995  0.001752    0.0563         3       640    0.8181    0.7858    0.8492    0.4735   0.06478     0.153  0.009399
   101/149     7.68G   0.03478    0.0199  0.001776   0.05646        16       640    0.8221    0.7821    0.8483    0.4726    0.0649    0.1516  0.009415
   102/149     7.68G   0.03488   0.01978  0.001847   0.05651        17       640    0.8278    0.7781    0.8503    0.4758    0.0648    0.1514    0.0095
   103/149     7.68G   0.03433   0.01968  0.001806   0.05581        13       640    0.8276    0.7797     0.852     0.476   0.06487     0.152  0.009393
   104/149     7.68G   0.03454    0.0203  0.001867   0.05671        34       640    0.8201    0.7879    0.8533    0.4791   0.06493     0.152  0.009461
   105/149     7.68G   0.03447   0.01968  0.001709   0.05586         7       640    0.8243    0.7875    0.8532    0.4785   0.06468    0.1531  0.009407
   106/149     7.68G   0.03473   0.01979   0.00189   0.05641        48       640    0.8234    0.7897     0.854    0.4802    0.0646    0.1531  0.009454
   107/149     7.68G   0.03458   0.02012  0.001761   0.05646        13       640    0.8104    0.7996    0.8522    0.4785   0.06447    0.1541  0.009325
   108/149     7.68G   0.03414   0.01956  0.001852   0.05555        18       640    0.8203    0.7873    0.8497    0.4774   0.06454     0.153  0.009533
