    56/149      7.9G    0.0222   0.02386   0.00242   0.04848        23       640    0.7879    0.7371    0.8026    0.3977   0.06054    0.1656   0.01224
    57/149      7.9G   0.02214   0.02404  0.002534   0.04871        19       640    0.7716    0.7521    0.8024    0.3978   0.06044    0.1656    0.0119
    58/149      7.9G   0.02215   0.02374  0.002382   0.04827        28       640    0.7946     0.742    0.8088    0.4047   0.06008    0.1695   0.01216
    59/149      7.9G   0.02217   0.02346  0.002413   0.04804        15       640    0.7825    0.7416    0.8014    0.3996   0.06026    0.1694   0.01229
    60/149      7.9G   0.02203   0.02329  0.002373   0.04769         4       640    0.8059    0.7308    0.8094    0.4033   0.05989    0.1663   0.01229
    61/149      7.9G     0.022   0.02385  0.002381   0.04823        58       640    0.7976    0.7323    0.8069    0.4062   0.05975    0.1691    0.0118
    62/149      7.9G   0.02202   0.02357  0.002364   0.04796        19       640    0.7988    0.7486    0.8123    0.4114   0.05966    0.1662   0.01256
    63/149      7.9G   0.02194   0.02307  0.002365   0.04737        16       640    0.7885    0.7486    0.8063    0.4043    0.0595    0.1709   0.01242
    64/149      7.9G   0.02174   0.02283   0.00235   0.04692        18       640    0.7889    0.7508    0.8105    0.4063   0.05948    0.1708   0.01272
    65/149      7.9G   0.02179   0.02305  0.002251   0.04709        25       640    0.8057    0.7426    0.8144    0.4097   0.05983    0.1716   0.01203
    66/149      7.9G   0.02172   0.02285  0.002331   0.04691        17       640    0.8001    0.7475     0.817    0.4162   0.05926      0.17   0.01156
    67/149      7.9G   0.02175   0.02236  0.002218   0.04634        17       640     0.796    0.7453    0.8142    0.4148   0.05915    0.1712    0.0123
    68/149      7.9G   0.02162   0.02293  0.002236   0.04679        40       640    0.8039    0.7484    0.8183    0.4178   0.05926    0.1711    0.0116
    69/149      7.9G   0.02155   0.02316  0.002303   0.04701        16       640    0.8062     0.739    0.8183    0.4177   0.05897    0.1713    0.0129
    70/149      7.9G   0.02161   0.02252  0.002172    0.0463        37       640    0.7998    0.7495    0.8172    0.4163   0.05859    0.1717   0.01232
    71/149      7.9G   0.02144   0.02251  0.002228   0.04619        32       640    0.8024    0.7489    0.8197    0.4193   0.05874    0.1727   0.01209
    72/149      7.9G   0.02147   0.02279  0.002142   0.04641        33       640    0.8145    0.7393    0.8187    0.4214   0.05909    0.1715   0.01167
    73/149      7.9G   0.02141   0.02282  0.002183   0.04641        57       640    0.8045    0.7518    0.8207    0.4225   0.05873    0.1705   0.01224
    74/149      7.9G    0.0213   0.02249  0.002115   0.04591        17       640     0.824    0.7368    0.8203      0.42   0.05854    0.1723   0.01197
    75/149      7.9G   0.02141   0.02264  0.002137   0.04619        19       640    0.8265    0.7398    0.8266     0.428   0.05855    0.1715    0.0126
    76/149      7.9G   0.02125   0.02222  0.002147   0.04562        19       640    0.8169    0.7491     0.827    0.4264   0.05826    0.1771   0.01193
    77/149      7.9G   0.02126   0.02263   0.00215   0.04603        15       640     0.825    0.7445    0.8292    0.4288    0.0581    0.1787   0.01283
    78/149      7.9G   0.02123   0.02232  0.002019   0.04556        14       640    0.8154    0.7486    0.8263    0.4233   0.05805    0.1786    0.0127
    79/149      7.9G   0.02108   0.02226  0.002083   0.04542        20       640    0.8022    0.7618    0.8287    0.4294    0.0581     0.176   0.01312
    80/149      7.9G   0.02103   0.02186   0.00194   0.04482         3       640    0.8158    0.7481    0.8289    0.4286   0.05814    0.1811   0.01203
    81/149     7.91G   0.02113   0.02208  0.002088    0.0453        48       640    0.8171    0.7493    0.8292    0.4328   0.05784    0.1755   0.01307
    82/149     7.91G   0.02109   0.02235  0.002077   0.04552        17       640    0.8282    0.7442    0.8302    0.4343   0.05745    0.1777   0.01271
    83/149     7.91G   0.02112   0.02209  0.001952   0.04516        46       640    0.8047    0.7618    0.8315    0.4333   0.05757     0.178   0.01218
    84/149     7.91G   0.02097   0.02165  0.001978   0.04461        51       640    0.8151    0.7602     0.834    0.4356   0.05731    0.1775   0.01309
    85/149     7.91G   0.02097   0.02216  0.001953   0.04508        34       640    0.8091    0.7674    0.8357     0.437   0.05712    0.1803   0.01329
    86/149     7.91G   0.02092   0.02209  0.002008   0.04502        34       640    0.8211    0.7563    0.8334     0.437   0.05694    0.1835   0.01219
    87/149     7.91G   0.02091   0.02238  0.001974   0.04526        61       640    0.8349    0.7451    0.8342    0.4365   0.05691    0.1849   0.01222
    88/149     7.91G   0.02083   0.02177  0.001964   0.04456        49       640    0.8059    0.7706    0.8351    0.4387   0.05666    0.1845   0.01344
    89/149     7.91G    0.0207   0.02148  0.001801   0.04398        14       640    0.8003    0.7825    0.8405    0.4453   0.05655    0.1878   0.01278
    90/149     7.91G   0.02071   0.02158  0.001893   0.04418        10       640    0.8281    0.7598    0.8378    0.4445    0.0566    0.1869   0.01308
    91/149     7.91G   0.02079   0.02137  0.001882   0.04404        11       640    0.8113    0.7782    0.8411    0.4464   0.05679    0.1852   0.01325
    92/149     7.91G   0.02068   0.02185  0.001902   0.04443        32       640    0.8146    0.7736    0.8389    0.4456   0.05657    0.1853   0.01297
    93/149     7.91G   0.02055   0.02181  0.001828   0.04419        47       640    0.8266    0.7652    0.8422     0.445   0.05654    0.1857   0.01305
    94/149     7.91G    0.0205   0.02158   0.00186   0.04394        21       640     0.821     0.772    0.8435    0.4479   0.05676    0.1872   0.01287
    95/149     7.91G   0.02055   0.02172  0.001943   0.04421        15       640    0.8298    0.7635    0.8425    0.4457   0.05669    0.1862   0.01296
    96/149     7.91G   0.02041    0.0214  0.001869   0.04368        21       640    0.8291    0.7712     0.846    0.4482   0.05665    0.1862   0.01301
    97/149     7.91G   0.02035   0.02158  0.001826   0.04375        20       640    0.8318    0.7701    0.8462    0.4492   0.05634    0.1857   0.01309
    98/149     7.91G   0.02043   0.02126  0.001783   0.04347        45       640     0.815     0.778    0.8457    0.4487   0.05624    0.1865   0.01309
    99/149     7.91G   0.02037   0.02161  0.001804   0.04378        21       640    0.8128    0.7789    0.8417    0.4472   0.05617    0.1862   0.01313
   100/149     7.91G   0.02027   0.02166  0.001845   0.04378        27       640    0.8226     0.767     0.842    0.4478   0.05588    0.1879   0.01335
   101/149     7.91G   0.02051   0.02167  0.001834   0.04401         8       640    0.8165    0.7757    0.8434    0.4506   0.05611    0.1874   0.01336
   102/149     7.91G   0.02027   0.02173  0.001829   0.04383        51       640    0.8309    0.7645    0.8454    0.4517   0.05587    0.1875   0.01338
   103/149     7.91G   0.02026   0.02112  0.001636   0.04301        28       640    0.8313    0.7738    0.8454    0.4546    0.0558      0.19   0.01324
   104/149     7.91G    0.0202   0.02147  0.001691   0.04336        87       640    0.8291    0.7719    0.8451    0.4539   0.05586    0.1895   0.01328
   105/149     7.91G   0.02007   0.02096  0.001651   0.04268        20       640    0.8202    0.7791    0.8442    0.4538   0.05588    0.1914   0.01314
   106/149     7.91G   0.02011   0.02161  0.001692   0.04341        53       640     0.841    0.7676    0.8487     0.453   0.05576    0.1918   0.01308
   107/149     7.91G   0.02021   0.02105  0.001687   0.04295        52       640    0.8238    0.7791    0.8472    0.4536   0.05555    0.1914   0.01331
   108/149     7.91G   0.02013   0.02103  0.001696   0.04286        47       640    0.8296    0.7676    0.8457    0.4555   0.05561    0.1912   0.01325
   109/149     7.91G   0.02006   0.02142  0.001759   0.04324        11       640     0.812    0.7862    0.8463    0.4558   0.05545    0.1934   0.01348
   110/149     7.91G   0.01991   0.02114  0.001625   0.04267        45       640    0.8332    0.7724    0.8492    0.4579    0.0553    0.1945   0.01361
   111/149     7.91G   0.02002   0.02091  0.001787   0.04272         7       640    0.8307    0.7752    0.8502    0.4583   0.05537    0.1939   0.01389
   112/149     7.91G    0.0199   0.02088  0.001661   0.04244        79       640    0.8241    0.7797    0.8517    0.4595   0.05523    0.1941   0.01372
